"VESSEL","CRUISE","YEAR","HAUL","SUBSTRATA","LATITUDE","LONGITUDE","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","START_TIME","BOTTOM_DEPTH","SPECIES_CODE","CPUE_KGHA","CPUE_NOHA","AREA_FISHED"
19,198201,1982.00,1,10,58,-158.92,-0.9,-0.2,5/31/1982 8:00:00,40,10285,0.23,0.86,3.45
19,198201,1982.00,2,10,57.68,-159.01,0,-0.4,5/31/1982 11:00:00,48,10285,0.00,0.00,5.62
19,198201,1982.00,3,10,57.33,-159.08,1.3,0.6,5/31/1982 15:00:00,46,10285,1.24,8.34,4.79
19,198201,1982.00,5,10,57,-159.09,0.7,0.3,5/31/1982 19:00:00,29,10285,0.28,3.23,4.01
19,198201,1982.00,6,31,56.67,-160.34,0.7,0.4,6/1/1982 8:00:00,59,10285,0.46,4.73,3.59
19,198201,1982.00,7,31,56.98,-160.33,0.4,0.2,6/1/1982 11:00:00,62,10285,0.74,2.57,4.65
19,198201,1982.00,8,31,57.31,-160.29,0.2,0.1,6/1/1982 14:00:00,60,10285,3.13,9.45,4.44
19,198201,1982.00,9,31,57.64,-160.26,0.5,0.9,6/1/1982 17:00:00,53,10285,1.84,5.73,5.23
19,198201,1982.00,10,10,57.98,-160.2,1.1,1.2,6/1/1982 20:00:00,49,10285,10.69,33.97,5.32
19,198201,1982.00,12,10,56.31,-161.63,7.5,,6/13/1982 17:00:00,64,10285,1.51,3.97,4.52
19,198201,1982.00,13,31,56.65,-161.58,6.3,2.2,6/13/1982 19:00:00,88,10285,9.03,20.36,4.56
19,198201,1982.00,14,31,56.98,-161.58,4.7,0.7,6/14/1982 8:00:00,70,10285,10.94,26.20,4.99
19,198201,1982.00,16,31,57.33,-161.57,5.5,0.2,6/14/1982 15:00:00,55,10285,10.79,21.55,4.73
19,198201,1982.00,17,10,57.65,-161.48,3.6,1.8,6/14/1982 17:00:00,53,10285,13.88,27.24,4.40
19,198201,1982.00,18,10,57.97,-161.47,3.6,1.8,6/14/1982 19:00:00,48,10285,3.52,7.93,4.53
19,198201,1982.00,19,10,58.26,-161.4,5.2,4.8,6/14/1982 22:00:00,38,10285,1.61,5.68,4.04
19,198201,1982.00,20,10,58.66,-162.7,2.7,2.6,6/15/1982 8:00:00,24,10285,11.19,51.15,4.39
19,198201,1982.00,21,10,58.35,-162.71,2.1,2.1,6/15/1982 10:00:00,29,10285,36.84,113.28,3.77
