YEAR,VESSEL,HAUL,STRATUM,SEX,LENGTH,KG_HA,NO_HA
2001,88,14,31,2,400,0.378066206,0.62318342
2001,88,14,31,2,450,0.55883468,0.62318342
2001,88,14,31,1,410,0.410343771,0.62318342
2001,88,15,31,1,130,0.003548145,0.238498642
2001,88,15,31,1,140,0.004537167,0.238498642
2001,88,15,31,2,140,0.004537167,0.238498642
2001,88,15,31,1,290,0.050829454,0.238498642
2001,88,15,31,1,150,0.011408478,0.476997283
2001,88,15,31,2,220,0.040652519,0.476997283
2001,88,15,31,2,240,0.027128987,0.238498642
2001,88,15,31,2,150,0.005704239,0.238498642
2001,88,16,10,1,140,0.00950097,0.505646328
2001,88,16,10,1,430,0.393261762,0.505646328
2001,88,16,10,2,230,0.049327819,0.505646328
2001,88,16,10,1,210,0.036476168,0.505646328
2001,88,18,10,1,400,0.273752227,0.524520714
2001,88,18,10,2,410,0.297123942,0.524520714
2001,88,18,10,2,420,0.321854957,0.524520714
2001,88,18,10,2,550,0.787449698,0.524520714
2001,88,18,10,2,260,0.065559488,0.524520714
2001,88,18,10,1,150,0.031709259,1.573562142
2001,88,18,10,2,210,0.032277,0.524520714
2001,88,18,10,2,240,0.050269054,0.524520714
2001,88,18,10,1,140,0.01681442,1.049041428
2001,88,19,31,2,450,0.49147827,0.640796282
2001,88,19,31,1,330,0.175629329,0.640796282
2001,88,19,31,2,540,0.899941784,0.640796282
2001,88,19,31,2,170,0.019446687,0.640796282
2001,88,19,31,2,190,0.02812629,0.640796282
2001,88,19,31,1,200,0.033344314,0.640796282
2001,88,19,31,2,210,0.039203454,0.640796282
2001,88,19,31,1,230,0.05301601,0.640796282
2001,88,19,31,2,230,0.05301601,0.640796282
2001,88,19,31,1,250,0.069912198,0.640796282
2001,88,19,31,1,270,0.090250034,0.640796282
2001,88,19,31,1,280,0.203647976,1.281592564
2001,88,19,31,1,310,0.142728415,0.640796282
2001,88,19,31,2,310,0.142728415,0.640796282
2001,88,19,31,1,320,0.158583376,0.640796282
2001,88,19,31,1,490,0.651942947,0.640796282
2001,88,20,31,1,220,0.083319819,1.062370723
2001,88,20,31,2,300,0.233160832,1.062370723
2001,88,20,31,2,410,0.65729656,1.062370723
2001,88,20,31,1,360,0.426938866,1.062370723
2001,88,20,31,2,330,0.319881839,1.062370723
2001,88,21,31,1,330,0.282916525,0.904404122
2001,88,21,31,2,230,0.085402054,0.904404122
